2, 12347.jpg,1,322,443,65,108,-1,-1,-1,-1
2, 12347.jpg,2,673,334,27,84,-1,-1,-1,-1
2, 12347.jpg,3,274,404,68,98,-1,-1,-1,-1
2, 12347.jpg,4,677,406,25,83,-1,-1,-1,-1
2, 12347.jpg,5,870,350,39,64,-1,-1,-1,-1
2, 12347.jpg,6,255,377,47,94,-1,-1,-1,-1
2, 12347.jpg,7,514,291,30,77,-1,-1,-1,-1
2, 12347.jpg,8,964,375,38,89,-1,-1,-1,-1
2, 12347.jpg,9,582,361,72,101,-1,-1,-1,-1
2, 12347.jpg,10,889,433,35,94,-1,-1,-1,-1
3, 12348.jpg,1,321,435,65,110,-1,-1,-1,-1
3, 12348.jpg,2,671,332,30,92,-1,-1,-1,-1
3, 12348.jpg,3,278,400,70,101,-1,-1,-1,-1
3, 12348.jpg,4,672,377,30,104,-1,-1,-1,-1
3, 12348.jpg,5,866,347,41,69,-1,-1,-1,-1
3, 12348.jpg,6,256,376,47,95,-1,-1,-1,-1
3, 12348.jpg,7,517,291,31,77,-1,-1,-1,-1
3, 12348.jpg,8,962,372,40,93,-1,-1,-1,-1
3, 12348.jpg,9,579,357,73,102,-1,-1,-1,-1
3, 12348.jpg,10,888,436,34,92,-1,-1,-1,-1
4, 12349.jpg,1,321,431,67,112,-1,-1,-1,-1
4, 12349.jpg,2,670,334,30,91,-1,-1,-1,-1
4, 12349.jpg,3,268,393,69,98,-1,-1,-1,-1
4, 12349.jpg,4,667,362,33,114,-1,-1,-1,-1
4, 12349.jpg,5,861,346,43,70,-1,-1,-1,-1
4, 12349.jpg,7,520,292,31,78,-1,-1,-1,-1
4, 12349.jpg,8,960,371,40,93,-1,-1,-1,-1
4, 12349.jpg,9,578,353,73,105,-1,-1,-1,-1
4, 12349.jpg,10,887,437,34,91,-1,-1,-1,-1
5, 12350.jpg,1,330,430,72,118,-1,-1,-1,-1
5, 12350.jpg,2,664,330,28,87,-1,-1,-1,-1
5, 12350.jpg,3,267,390,69,98,-1,-1,-1,-1
5, 12350.jpg,4,661,343,37,128,-1,-1,-1,-1
5, 12350.jpg,5,856,345,43,72,-1,-1,-1,-1
5, 12350.jpg,6,263,377,45,88,-1,-1,-1,-1
5, 12350.jpg,7,521,292,33,80,-1,-1,-1,-1
5, 12350.jpg,8,958,369,39,91,-1,-1,-1,-1
5, 12350.jpg,9,574,351,74,108,-1,-1,-1,-1
5, 12350.jpg,10,886,438,34,90,-1,-1,-1,-1
6, 12351.jpg,1,352,432,72,118,-1,-1,-1,-1
6, 12351.jpg,2,663,328,27,82,-1,-1,-1,-1
6, 12351.jpg,4,657,332,39,138,-1,-1,-1,-1
6, 12351.jpg,5,851,343,43,73,-1,-1,-1,-1
6, 12351.jpg,6,268,377,44,88,-1,-1,-1,-1
6, 12351.jpg,7,522,294,32,77,-1,-1,-1,-1
6, 12351.jpg,8,958,369,40,92,-1,-1,-1,-1
6, 12351.jpg,9,573,352,70,104,-1,-1,-1,-1
6, 12351.jpg,10,885,439,33,86,-1,-1,-1,-1
7, 12352.jpg,1,361,434,70,117,-1,-1,-1,-1
7, 12352.jpg,2,661,324,27,85,-1,-1,-1,-1
7, 12352.jpg,4,656,337,37,132,-1,-1,-1,-1
7, 12352.jpg,5,847,343,43,73,-1,-1,-1,-1
7, 12352.jpg,6,274,377,43,86,-1,-1,-1,-1
7, 12352.jpg,7,522,295,32,74,-1,-1,-1,-1
7, 12352.jpg,8,957,369,40,91,-1,-1,-1,-1
7, 12352.jpg,9,572,352,69,103,-1,-1,-1,-1
7, 12352.jpg,10,881,439,34,88,-1,-1,-1,-1
7, 12352.jpg,12,322,414,61,91,-1,-1,-1,-1
8, 12353.jpg,1,366,436,68,114,-1,-1,-1,-1
8, 12353.jpg,2,656,323,28,85,-1,-1,-1,-1
8, 12353.jpg,4,654,343,35,123,-1,-1,-1,-1
8, 12353.jpg,5,841,344,42,72,-1,-1,-1,-1
